3, 3, arc, transcription, 3</num>, texts/xml/idum0157.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0160.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0162.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0164.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0164.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0166.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0170.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0181.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0205.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0205.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0207.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0212.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0212.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0218.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0226.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0229.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0298.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0299.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0303.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0306.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0306.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0309b.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0311.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0328.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0337.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0376.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0377.xml
3, 3, arc, transcription, </supplied>3</num>, texts/xml/idum0377.xml
