4, arc, transcription, texts/idum0306.xml
4, arc, transcription, texts/idum0312.xml
4, arc, transcription, texts/idum0316.xml
4, arc, transcription, texts/idum0319.xml
4, arc, transcription, texts/idum0332.xml
4, arc, transcription, texts/idum0334.xml
4, arc, transcription, texts/idum0335.xml
4, heb, transcription, texts/jeru0194.xml
4, heb, transcription, texts/jeru0206.xml
4, heb, transcription, texts/jord0001.xml
4, arc, transcription, texts/unkn0106.xml
4, arc, transcription, texts/unkn0107.xml
40, arc, transcription, texts/idum0341.xml
40, heb, transcription, texts/jord0001.xml
41, heb, transcription, texts/jord0001.xml
42, heb, transcription, texts/jord0001.xml
43, arc, transcription, texts/idum0105.xml
43, arc, transcription, texts/idum0146.xml
43, arc, transcription, texts/idum0297.xml
43, arc, transcription, texts/idum0311.xml
43, heb, transcription, texts/jord0001.xml
433, arc, transcription, texts/idum0153.xml
44, arc, transcription, texts/idum0306.xml
44, arc, transcription, texts/idum0307.xml
44, arc, transcription, texts/idum0309a.xml
44, arc, transcription, texts/idum0310.xml
44, heb, transcription, texts/jord0001.xml
45, arc, transcription, texts/idum0149.xml
45, arc, transcription, texts/idum0155.xml
45, heb, transcription, texts/jord0001.xml
46, arc, transcription, texts/idum0001.xml
46, arc, transcription, texts/idum0156.xml
46, arc, transcription, texts/idum0157.xml
46, arc, transcription, texts/idum0312.xml
46, heb, transcription, texts/jord0001.xml
463, grc, transcription, texts/evro0007.xml
47, heb, transcription, texts/jord0001.xml
48, heb, transcription, texts/jord0001.xml
49, heb, transcription, texts/jord0001.xml
491, grc, transcription, texts/evro0005.xml
5, arc, transcription, texts/idum0015.xml
5, arc, transcription, texts/idum0017.xml
5, arc, transcription, texts/idum0018.xml
5, arc, transcription, texts/idum0019.xml
5, arc, transcription, texts/idum0020.xml
5, arc, transcription, texts/idum0021.xml
5, arc, transcription, texts/idum0023.xml
5, arc, transcription, texts/idum0025.xml
5, arc, transcription, texts/idum0026.xml
5, arc, transcription, texts/idum0027.xml
5, arc, transcription, texts/idum0029.xml
5, arc, transcription, texts/idum0038.xml
5, arc, transcription, texts/idum0049.xml
5, arc, transcription, texts/idum0056.xml
5, arc, transcription, texts/idum0057.xml
5, arc, transcription, texts/idum0059.xml
5, arc, transcription, texts/idum0062.xml
5, arc, transcription, texts/idum0063.xml
5, arc, transcription, texts/idum0067.xml
5, arc, transcription, texts/idum0074.xml
5, arc, transcription, texts/idum0075.xml
5, arc, transcription, texts/idum0100.xml
5, arc, transcription, texts/idum0105.xml
5, arc, transcription, texts/idum0113.xml
5, arc, transcription, texts/idum0118.xml
5, arc, transcription, texts/idum0121.xml
5, arc, transcription, texts/idum0130.xml
5, arc, transcription, texts/idum0143.xml
5, arc, transcription, texts/idum0145.xml
5, arc, transcription, texts/idum0162.xml
5, arc, transcription, texts/idum0165.xml
5, arc, transcription, texts/idum0166.xml
5, arc, transcription, texts/idum0216.xml
5, arc, transcription, texts/idum0327.xml
5, arc, transcription, texts/idum0329.xml
5, arc, transcription, texts/idum0332.xml
5, arc, transcription, texts/idum0333.xml
5, arc, transcription, texts/idum0335.xml
5, arc, transcription, texts/idum0376.xml
5, arc, transcription, texts/idum0378.xml
5, heb, transcription, texts/jord0001.xml
5, arc, transcription, texts/unkn0107.xml
50, heb, transcription, texts/jord0001.xml
500, grc, transcription, texts/carm0001.xml
51, heb, transcription, texts/jord0001.xml
52, heb, transcription, texts/jord0001.xml
53, arc, transcription, texts/idum0046.xml
53, heb, transcription, texts/jord0001.xml
538, grc, transcription, texts/evro0008.xml
54, heb, transcription, texts/jord0001.xml
55, heb, transcription, texts/jord0001.xml
56, heb, transcription, texts/jord0001.xml
57, heb, transcription, texts/jord0001.xml
58, heb, transcription, texts/jord0001.xml
59, heb, transcription, texts/jord0001.xml
5יעפת, arc, transcription, texts/idum0061.xml
5לתמוז, arc, transcription, texts/idum0061.xml
6, arc, transcription, texts/idum0021.xml
6, arc, transcription, texts/idum0024.xml
6, arc, transcription, texts/idum0035.xml
6, arc, transcription, texts/idum0062.xml
6, arc, transcription, texts/idum0065.xml
6, arc, transcription, texts/idum0066.xml
6, arc, transcription, texts/idum0067.xml
6, arc, transcription, texts/idum0073.xml
6, arc, transcription, texts/idum0075.xml
6, arc, transcription, texts/idum0081.xml
6, arc, transcription, texts/idum0089.xml
6, arc, transcription, texts/idum0091.xml
6, arc, transcription, texts/idum0119.xml
6, arc, transcription, texts/idum0120.xml
6, arc, transcription, texts/idum0163.xml
6, arc, transcription, texts/idum0168.xml
6, arc, transcription, texts/idum0174.xml
6, arc, transcription, texts/idum0209.xml
6, arc, transcription, texts/idum0215.xml
6, arc, transcription, texts/idum0230.xml
6, arc, transcription, texts/idum0295.xml
6, arc, transcription, texts/idum0298.xml
6, arc, transcription, texts/idum0299.xml
6, arc, transcription, texts/idum0303.xml
6, arc, transcription, texts/idum0328.xml
6, arc, transcription, texts/idum0332.xml
6, heb, transcription, texts/jord0001.xml
6, arc, transcription, texts/unkn0106.xml
60, heb, transcription, texts/jord0001.xml
61, heb, transcription, texts/jord0001.xml
62, heb, transcription, texts/jord0001.xml
63, heb, transcription, texts/jord0001.xml
64, heb, transcription, texts/jord0001.xml
65, heb, transcription, texts/jord0001.xml
66, heb, transcription, texts/jord0001.xml
667, grc, transcription, texts/khis0083.xml
67, heb, transcription, texts/jord0001.xml
68, heb, transcription, texts/jord0001.xml
69, heb, transcription, texts/jord0001.xml
7, arc, transcription, texts/idum0007.xml
7, arc, transcription, texts/idum0027.xml
7, arc, transcription, texts/idum0028.xml
7, arc, transcription, texts/idum0145.xml
7, arc, transcription, texts/idum0154.xml
7, arc, transcription, texts/idum0172.xml
7, arc, transcription, texts/idum0225.xml
7, arc, transcription, texts/idum0333.xml
7, arc, transcription, texts/idum0334.xml
7, arc, transcription, texts/idum0335.xml
7, arc, transcription, texts/idum0337.xml
7, heb, transcription, texts/jord0001.xml
7, grc, transcription, texts/khis0083.xml
70, heb, transcription, texts/jord0001.xml
71, heb, transcription, texts/jord0001.xml
72, heb, transcription, texts/jord0001.xml
73, heb, transcription, texts/jord0001.xml
74, heb, transcription, texts/jord0001.xml
75, heb, transcription, texts/jord0001.xml
76, heb, transcription, texts/jord0001.xml
77, heb, transcription, texts/jord0001.xml
78, heb, transcription, texts/jord0001.xml
79, heb, transcription, texts/jord0001.xml
7לבני, arc, transcription, texts/idum0068.xml
8, arc, transcription, texts/idum0008.xml
8, arc, transcription, texts/idum0009.xml
8, arc, transcription, texts/idum0028.xml
8, arc, transcription, texts/idum0032.xml
8, arc, transcription, texts/idum0065.xml
8, arc, transcription, texts/idum0067.xml
8, arc, transcription, texts/idum0069.xml
8, arc, transcription, texts/idum0092.xml
8, arc, transcription, texts/idum0114.xml
8, arc, transcription, texts/idum0116.xml
8, arc, transcription, texts/idum0122.xml
8, arc, transcription, texts/idum0220.xml
8, arc, transcription, texts/idum0338.xml
8, arc, transcription, texts/idum0387.xml
8, heb, transcription, texts/jord0001.xml
80, heb, transcription, texts/jord0001.xml
81, heb, transcription, texts/jord0001.xml
82, heb, transcription, texts/jord0001.xml
83, heb, transcription, texts/jord0001.xml
84, heb, transcription, texts/jord0001.xml
85, heb, transcription, texts/jord0001.xml
86, heb, transcription, texts/jord0001.xml
87, heb, transcription, texts/jord0001.xml
9, arc, transcription, texts/idum0069.xml
9, arc, transcription, texts/idum0075.xml
9, arc, transcription, texts/idum0094.xml
9, arc, transcription, texts/idum0135.xml
9, arc, transcription, texts/idum0146.xml
9, arc, transcription, texts/idum0314.xml
9, arc, transcription, texts/idum0327.xml
9, heb, transcription, texts/jord0001.xml
=, grc, transcription, texts/beth0163.xml
A, la, transcription, texts/caes0008.xml
A, grc, transcription, texts/sena0005.xml
ACER, la, transcription, texts/caes0008.xml
AMII, la, transcription, texts/masa0915.xml
ASO·, la, transcription, texts/masa0827.xml
Acilius, la, transcription, texts/caes0016.xml
Aelio, la, transcription, texts/caes0353.xml
Aeliono, la, transcription, texts/caes0011.xml
Africano, la, transcription, texts/caes0107.xml
Africanus, la, transcription, texts/caes0009.xml
Agrippae, la, transcription, texts/caes0032.xml
Agrippam, la, transcription, texts/caes0003.xml
Agustus, la, transcription, texts/yotv0001.xml
Amineum, grc, transcription, texts/masa0796.xml
Amineum, grc, transcription, texts/masa0797.xml
Amphorae, la, transcription, texts/masa0826.xml
Antoninianae, la, transcription, texts/caes0004.xml
Antoninianae, la, transcription, texts/caes0018.xml
Antonio, la, transcription, texts/caes0107.xml
Aphrodilus, la, transcription, texts/caes0164.xml
Arabos, la, transcription, texts/caes0004.xml
Arbaeus, la, transcription, texts/caes0009.xml
Asianae, la, transcription, texts/caes0004.xml
Au, la, transcription, texts/masa0853.xml
Aufidius, la, transcription, texts/caes0014.xml
Aufidius, la, transcription, texts/caes0017.xml
Aug, la, transcription, texts/caes0006.xml
Aug, la, transcription, texts/caes0016.xml
Aug, la, transcription, texts/caes0018.xml
Aug, grc, transcription, texts/caes0027.xml
Aug, la, transcription, texts/caes0049.xml
Aug, la, transcription, texts/caes0054.xml
Aug, la, transcription, texts/caes0106.xml
Augustae, la, transcription, texts/caes0003.xml
Augustae, la, transcription, texts/caes0044.xml
Augustalibus, , transcription, texts/caes0122.xml
Augustalis, , transcription, texts/caes0122.xml
Augusti, la, transcription, texts/caes0002.xml
Augusti, la, transcription, texts/caes0007.xml
Augusti, la, transcription, texts/caes0008.xml
Augusti, la, transcription, texts/caes0011.xml
Augusti, la, transcription, texts/caes0015.xml
Augusti, la, transcription, texts/caes0018.xml
Augusti, la, transcription, texts/caes0020.xml
Augusti, la, transcription, texts/caes0022.xml
Augusti, la, transcription, texts/caes0031.xml
Augusti, la, transcription, texts/caes0034.xml
Augusti, la, transcription, texts/caes0035.xml
Augusti, la, transcription, texts/caes0106.xml
Augusti, la, transcription, texts/caes0107.xml
Augusto, la, transcription, texts/bshe0006.xml
Augusto, la, transcription, texts/caes0006.xml
Augusto, la, transcription, texts/caes0009.xml
Augusto, la, transcription, texts/caes0013.xml
Augusto, la, transcription, texts/caes0016.xml
Augusto, grc, transcription, texts/caes0027.xml
Augusto, la, transcription, texts/caes0045.xml
Augusto, la, transcription, texts/caes0047.xml
Augusto, la, transcription, texts/caes0049.xml
