4, 4, arc, transcription, 4</num>, texts/idum0042.xml
4, 4, arc, transcription, 4</num>, texts/idum0059.xml
4, 4, arc, transcription, 4</num>, texts/idum0060.xml
4, 4, arc, transcription, </lb>4</num>, texts/idum0065.xml
4, 4, arc, transcription, 4</num>, texts/idum0066.xml
4, 4, arc, transcription, 4</num>, texts/idum0113.xml
4, 4, arc, transcription, 4</num>, texts/idum0118.xml
4, 4, arc, transcription, </lb></gap>4</num>, texts/idum0131.xml
4, 4, arc, transcription, 4</num>, texts/idum0146.xml
4, 4, arc, transcription, 4</num>, texts/idum0148.xml
4, 4, arc, transcription, 4</num>, texts/idum0153.xml
4, 4, arc, transcription, 4</num>, texts/idum0165.xml
4, 4, arc, transcription, 4</num>, texts/idum0166.xml
4, 4, arc, transcription, 4</num>, texts/idum0169.xml
4, 4, arc, transcription, 4</num>, texts/idum0170.xml
4, 4, arc, transcription, 4</num>, texts/idum0171.xml
4, 4, arc, transcription, 4</num>, texts/idum0176.xml
4, 4, arc, transcription, </supplied>4</num>, texts/idum0212.xml
4, 4, arc, transcription, 4</num>, texts/idum0216.xml
4, 4, arc, transcription, 4</num>, texts/idum0218.xml
4, 4, arc, transcription, 4</num>, texts/idum0232.xml
4, 4, arc, transcription, 4</num>, texts/idum0297.xml
4, 4, arc, transcription, 4</num>, texts/idum0306.xml
4, 4, arc, transcription, 4</num>, texts/idum0312.xml
4, 4, arc, transcription, 4</num>, texts/idum0316.xml
4, 4, arc, transcription, 4</num>, texts/idum0319.xml
4, 4, arc, transcription, 4</num>, texts/idum0332.xml
4, 4, arc, transcription, 4</num>, texts/idum0334.xml
4, 4, arc, transcription, 4</num>, texts/idum0335.xml
4, 4, arc, transcription, 4</num>, texts/unkn0106.xml
4, 4, arc, transcription, </lb>4, texts/unkn0107.xml
40, 40, arc, transcription, 40</num>, texts/idum0341.xml
43, 43, arc, transcription, 43</num>, texts/idum0105.xml
43, 43, arc, transcription, 43</num>, texts/idum0146.xml
43, 43, arc, transcription, 43</num>, texts/idum0297.xml
43, 43, arc, transcription, </gap>43</num>, texts/idum0311.xml
433, 433, arc, transcription, 43+3</hi>, texts/idum0153.xml
44, 44, arc, transcription, 44</num>, texts/idum0306.xml
44, 44, arc, transcription, 44</num>, texts/idum0307.xml
44, 44, arc, transcription, 44</num>, texts/idum0309a.xml
44, 44, arc, transcription, 44</num>, texts/idum0310.xml
45, 45, arc, transcription, 45</hi>, texts/idum0149.xml
45, 45, arc, transcription, 45</hi>, texts/idum0155.xml
46, 46, arc, transcription, 46</num>, texts/idum0001.xml
46, 46, arc, transcription, 46</num>, texts/idum0156.xml
46, 46, arc, transcription, 46</num>, texts/idum0157.xml
46, 46, arc, transcription, 46</num>, texts/idum0312.xml
5, 5, arc, transcription, 5</num>, texts/idum0015.xml
5, 5, arc, transcription, 5</num>, texts/idum0017.xml
5, 5, arc, transcription, 5</num>, texts/idum0018.xml
5, 5, arc, transcription, 5</num>, texts/idum0019.xml
5, 5, arc, transcription, 5</num>, texts/idum0020.xml
5, 5, arc, transcription, 5</num>, texts/idum0021.xml
5, 5, arc, transcription, 5</num>, texts/idum0023.xml
5, 5, arc, transcription, 5</num>, texts/idum0025.xml
5, 5, arc, transcription, 5</num>, texts/idum0026.xml
5, 5, arc, transcription, 5</num>, texts/idum0027.xml
5, 5, arc, transcription, 5</num>, texts/idum0029.xml
5, 5, arc, transcription, +</add>5</num>, texts/idum0038.xml
5, 5, arc, transcription, 5</num>, texts/idum0049.xml
5, 5, arc, transcription, 5</num>, texts/idum0056.xml
5, 5, arc, transcription, 5</num>, texts/idum0057.xml
5, 5, arc, transcription, 5</num>, texts/idum0059.xml
5, 5, arc, transcription, 5</num>, texts/idum0062.xml
5, 5, arc, transcription, 5</num>, texts/idum0063.xml
5, 5, arc, transcription, 5</num>, texts/idum0067.xml
5, 5, arc, transcription, 5</num>, texts/idum0074.xml
5, 5, arc, transcription, 5</num>, texts/idum0075.xml
5, 5, arc, transcription, 5</num>, texts/idum0100.xml
5, 5, arc, transcription, 5</num>, texts/idum0105.xml
5, 5, arc, transcription, 5</num>, texts/idum0111.xml
