110, 110, la-transl, translation, 110?</p></div>, texts/xml/masa0848.xml
Roman, Roman, la-transl, transcription, Roman, texts/xml/caes0004.xml
Roman, Roman, la-transl, transcription, Roman, texts/xml/caes0010.xml
Romanus, Romanus, la-transl, transcription, </persName>Romanus, texts/xml/caes0004.xml
Romanus, Romanus, la-transl, transcription, </persName>Romanus, texts/xml/caes0107.xml
S, S, la-transl, transcription, </persName>S-, texts/xml/caes0018.xml
Seius, Seius, la-transl, transcription, </persName>Seius, texts/xml/caes0015.xml
Sempronianus, Sempronianus, la-transl, transcription, </persName>Sempronianus, texts/xml/caes0107.xml
Seneca, Seneca, la-transl, transcription, </persName>Seneca, texts/xml/caes0015.xml
Serenity, Serenity, la-transl, transcription, Serenity</rs>.</p></div>, texts/xml/caes0009.xml
Sextus, Sextus, la-transl, transcription, Sextus, texts/xml/caes0015.xml
Sextus, Sextus, la-transl, translation, Sextus</p></div>, texts/xml/mare0401.xml
Sextus, Sextus, la-transl, translation, Sextus</p></div>, texts/xml/mare0402.xml
Sextus, Sextus, la-transl, translation, Sextus, texts/xml/mare0403.xml
Slave, Slave, la-transl, translation, Slave</p></div>, texts/xml/masa0834.xml
Spanish, Spanish, la-transl, transcription, Spanish, texts/xml/caes0004.xml
Symphorus, Symphorus, la-transl, transcription, Symphorus, texts/xml/caes0146.xml
Syria, Syria, la-transl, transcription, Syria, texts/xml/caes0004.xml
Syria, Syria, la-transl, transcription, Syria, texts/xml/caes0013.xml
Syria, Syria, la-transl, transcription, Syria, texts/xml/caes0015.xml
Syria, Syria, la-transl, transcription, Syria, texts/xml/caes0016.xml
Syria, Syria, la-transl, transcription, Syria, texts/xml/caes0018.xml
Syria, Syria, la-transl, transcription, Syria, texts/xml/caes0020.xml
Syria, Syria, la-transl, transcription, Syria, texts/xml/caes0032.xml
Syria, Syria, la-transl, transcription, Syria, texts/xml/yotv0001.xml
Taurinus, Taurinus, la-transl, transcription, </persName>Taurinus, texts/xml/caes0015.xml
The, The, la-transl, translation, The</p></div>, texts/xml/masa0799.xml
Theophilus, Theophilus, la-transl, transcription, </persName>Theophilus, texts/xml/caes0010.xml
Tiberianus, Tiberianus, la-transl, transcription, </persName>Tiberianus, texts/xml/caes0148.xml
Tiberieum, Tiberieum, la-transl, transcription, Tiberieum....</p></div>, texts/xml/caes0043.xml
Tiberius, Tiberius, la-transl, transcription, Tiberius, texts/xml/caes0021.xml
Tiberius, Tiberius, la-transl, transcription, Tiberius, texts/xml/caes0145.xml
Timesitheus, Timesitheus, la-transl, transcription, </persName>Timesitheus, texts/xml/caes0007.xml
Titia, Titia, la-transl, transcription, Titia, texts/xml/caes0161.xml
Titianus, Titianus, la-transl, transcription, </persName>Titianus, texts/xml/caes0018.xml
Titus, Titus, la-transl, transcription, Titus</persName>, texts/xml/caes0002.xml
To, To, la-transl, translation, To</p></div>, texts/xml/bshe0006.xml
To, To, la-transl, translation, To, texts/xml/caes0004.xml
To, To, la-transl, translation, To, texts/xml/caes0006.xml
To, To, la-transl, translation, To, texts/xml/caes0007.xml
To, To, la-transl, translation, To, texts/xml/caes0009.xml
To, To, la-transl, translation, To, texts/xml/caes0010.xml
To, To, la-transl, translation, To..., texts/xml/caes0013.xml
To, To, la-transl, translation, To, texts/xml/caes0014.xml
To, To, la-transl, translation, To, texts/xml/caes0015.xml
To, To, la-transl, translation, To, texts/xml/caes0016.xml
To, To, la-transl, translation, To, texts/xml/caes0017.xml
To, To, la-transl, translation, To, texts/xml/caes0018.xml
To, To, la-transl, translation, To, texts/xml/caes0021.xml
To, To, la-transl, translation, To, texts/xml/caes0106.xml
To, To, la-transl, translation, To, texts/xml/caes0107.xml
To, To, la-transl, translation, To, texts/xml/caes0145.xml
To, To, la-transl, translation, To, texts/xml/caes0146.xml
To, To, la-transl, translation, To..., texts/xml/caes0148.xml
To, To, la-transl, translation, To, texts/xml/caes0160.xml
To, To, la-transl, translation, To, texts/xml/caes0161.xml
Trajan, Trajan, la-transl, transcription, </rs>Trajan, texts/xml/caes0045.xml
Trajan, Trajan, la-transl, transcription, </rs>Trajan, texts/xml/caes0047.xml
Trajan, Trajan, la-transl, transcription, </rs>Trajan, texts/xml/caes0049.xml
Trajan, Trajan, la-transl, transcription, </rs>Trajan, texts/xml/caes0051.xml
Trajan, Trajan, la-transl, transcription, </rs>Trajan, texts/xml/caes0052.xml
Trajan, Trajan, la-transl, transcription, </rs>Trajan, texts/xml/caes0053.xml
Trajan, Trajan, la-transl, transcription, </rs>Trajan, texts/xml/caes0054.xml
Under, Under, la-transl, translation, Under, texts/xml/caes0055.xml
VI, VI, la-transl, transcription, VI, texts/xml/caes0054.xml
VI, VI, la-transl, transcription, VI, texts/xml/caes0146.xml
Valentina, Valentina, la-transl, transcription, Valentina, texts/xml/caes0148.xml
Valerianus, Valerianus, la-transl, transcription, </persName>Valerianus, texts/xml/caes0004.xml
Valerius, Valerius, la-transl, transcription, </persName>Valerius, texts/xml/caes0004.xml
Valerius, Valerius, la-transl, transcription, </persName>Valerius, texts/xml/caes0006.xml
Valerius, Valerius, la-transl, transcription, </persName>Valerius, texts/xml/caes0009.xml
Valerius, Valerius, la-transl, transcription, Valerius, texts/xml/caes0010.xml
Valerius, Valerius, la-transl, transcription, </persName>Valerius, texts/xml/caes0014.xml
Valerius, Valerius, la-transl, transcription, </persName>Valerius, texts/xml/caes0017.xml
Verus, Verus, la-transl, transcription, </persName>Verus, texts/xml/caes0106.xml
X, X, la-transl, transcription, X, texts/xml/caes0031.xml
X, X, la-transl, transcription, X, texts/xml/caes0051.xml
X, X, la-transl, transcription, X, texts/xml/caes0052.xml
X, X, la-transl, transcription, X, texts/xml/caes0146.xml
X, X, la-transl, transcription, X, texts/xml/caes0148.xml
XII, XII, la-transl, transcription, XII, texts/xml/caes0119.xml
a, a, la-transl, transcription, a, texts/xml/caes0004.xml
a, a, la-transl, transcription, a, texts/xml/caes0037.xml
a, a, la-transl, transcription, a, texts/xml/caes0051.xml
a, a, la-transl, transcription, a, texts/xml/caes0052.xml
a, a, la-transl, transcription, a, texts/xml/caes0054.xml
a, a, la-transl, transcription, a, texts/xml/caes0119.xml
a, a, la-transl, transcription, a, texts/xml/caes0146.xml
against, against, la-transl, transcription, against, texts/xml/caes0004.xml
all, all, la-transl, transcription, all, texts/xml/caes0013.xml
all, all, la-transl, transcription, all, texts/xml/caes0016.xml
an, an, la-transl, transcription, an, texts/xml/caes0004.xml
and, and, la-transl, transcription, and, texts/xml/caes0003.xml
and, and, la-transl, transcription, and, texts/xml/caes0004.xml
and, and, la-transl, transcription, and, texts/xml/caes0006.xml
and, and, la-transl, transcription, </rs>and, texts/xml/caes0007.xml
and, and, la-transl, transcription, and, texts/xml/caes0010.xml
and, and, la-transl, transcription, and, texts/xml/caes0013.xml
and, and, la-transl, transcription, and, texts/xml/caes0014.xml
and, and, la-transl, transcription, and, texts/xml/caes0016.xml
and, and, la-transl, transcription, and, texts/xml/caes0017.xml
and, and, la-transl, transcription, and, texts/xml/caes0018.xml
and, and, la-transl, transcription, and, texts/xml/caes0031.xml
and, and, la-transl, transcription, </rs>and, texts/xml/caes0044.xml
and, and, la-transl, transcription, and, texts/xml/caes0106.xml
and, and, la-transl, transcription, and, texts/xml/caes0107.xml
