1, he, transcription, <p>.1, texts/jord0001.xml
יהוא, he, transcription, <p>יהו<unclear>א</unclear>, texts/masa0398.xml
יהוד, he, transcription, </lb>יהוד</p></div>, texts/thar0001.xml
יהודה, he, transcription, <p>יהודה, texts/beth0249.xml
יהודה, he, transcription, <p>יהודה, texts/beth0256.xml
יהודה, he, transcription, <unclear>י</unclear><unclear>ה</unclear>ודה</p></div>, texts/beth0265.xml
יהודה, he, transcription, יהודה, texts/jeru0303.xml
יהודה, he, transcription, <p>יהודה, texts/masa0351.xml
יהודה, he, transcription, </lb>יהודה, texts/masa0484.xml
יהודה, he, transcription, <p>יהודה</p></div>, texts/masa0489.xml
יהודה, he, transcription, <p>יהודה</p></div>, texts/masa0490.xml
יהודה, he, transcription, <supplied>יה</supplied>ודה</p></div>, texts/masa0491.xml
יהודה, he, transcription, <p>יהודה</p></div>, texts/masa0492.xml
יהודה, he, transcription, <supplied>יהו</supplied>דה</p></div>, texts/masa0493.xml
יהודה, he, transcription, </lb>יהו<unclear>ד</unclear><supplied>ה</supplied>, texts/masa0547.xml
יהודהא, he, transcription, <supplied>יהו</supplied>דה<supplied>א</supplied>, texts/masa0471.xml
יהוחנה, he, transcription, </lb>יהוחנה, texts/jeru0305.xml
יהוחנן, he, transcription, <p>יהוחנן</p></div>, texts/isaw0001.xml
יהוחנן, he, transcription, <p>יהוחנן, texts/masa0302.xml
יהוחנן, he, transcription, <p>יהוחנן, texts/masa0313.xml
יהוחנן, he, transcription, <p>יהוחנן, texts/masa0329.xml
יהוחנן, he, transcription, <p>יהוחנן, texts/masa0341.xml
יהוחנן, he, transcription, </lb><supplied>יהוח</supplied>נן, texts/masa0395.xml
יהוחנן, he, transcription, <p>יהוחנן, texts/masa0396.xml
יהוחנן, he, transcription, <p>יהוחנן, texts/masa0397.xml
יהוחנן, he, transcription, <p>יהוחנ<supplied>ן</supplied>, texts/masa0412.xml
יהוחנן, he, transcription, <supplied>יה</supplied>וחנן</p></div>, texts/masa0417.xml
יהוחנן, he, transcription, יהוחנן, texts/masa0484.xml
יהוסף, he, transcription, </lb>יהוסף, texts/jent0006.xml
יהוסף, he, transcription, <supplied>יהו</supplied>סף, texts/masa0395.xml
יהוסף, he, transcription, <p>יהוסף</p></div>, texts/masa0470.xml
יהוסף, he, transcription, <p>יהוסף, texts/masa0474.xml
יהוסף, he, transcription, <p>יהוסף</p></div>, texts/masa0494.xml
יהוסף, he, transcription, <p>יהוסף</p></div>, texts/masa0495.xml
יהוסף, he, transcription, <p>יהוסף</p></div>, texts/masa0496.xml
יהוסף, he, transcription, <supplied>יהו</supplied>סף</p></div>, texts/masa0497.xml
יהוסף, he, transcription, <p>יהוסף, texts/mtsc0001.xml
יהוספ, he, transcription, </lb>יהוס]פ, texts/qumr0002.xml
יהושוע, he, transcription, יהושוע, texts/jaff0054.xml
יהותנן, he, transcription, <p>יהותנן, texts/masa0484.xml
יהותנן, he, transcription, <supplied>יה</supplied>ותנן</p></div>, texts/masa0487.xml
יהיוחנן, he, transcription, יהיוחנן, texts/jeru0305.xml
יוחנן, he, transcription, יוחנן, texts/jeru0303.xml
יוסף, he, transcription, יוסף, texts/jeru0303.xml
יוספ, he, transcription, יוספ, texts/jeru0303.xml
יועזר, he, transcription, יועזר, texts/jeru0303.xml
יועזר, he, transcription, <p>יועזר</p></div>, texts/masa0383.xml
ינניה, he, transcription, </lb>ינני<supplied>ה</supplied>, texts/masa0484.xml
יעקוב, he, transcription, <p>יעקוב</p></div>, texts/masa0499.xml
יעקוב, he, transcription, <p>יעקוב</p></div>, texts/masa0500.xml
יעקוב, he, transcription, <p>יעקוב</p></div>, texts/masa0501.xml
יפה, he, transcription, </lb>יפה</p></div>, texts/masa0516.xml
יפה, he, transcription, <p>יפה</p></div>, texts/masa0520.xml
יצחק, he, transcription, <p>יצחק, texts/beth0258.xml
ישוע, he, transcription, <supplied>י</supplied>שוע</p></div>, texts/masa0414.xml
ישוע, he, transcription, <p>ישוע</p></div>, texts/masa0457.xml
ישראל, he, transcription, </lb><supplied>י</supplied>שראל, texts/haif0010.xml
ישראל, he, transcription, </lb>ישראל</p></div>, texts/juda0001.xml
כ, he, transcription, <p>כ</p></div>, texts/masa0517.xml
כהנא, he, transcription, כהנא, texts/masa0461.xml
כהנים, he, transcription, </lb>כהנים, texts/jeru0303.xml
כוהנים, he, transcription, </gap>כוהנים</p></div>, texts/beth0260.xml
כוסבא, he, transcription, <expan>כוס<ex>בא</ex></expan>, texts/juda0001.xml
כיסה, he, transcription, כיסה</p></div>, texts/masa0546.xml
כל, he, transcription, </lb><supplied>כל, texts/huqo0001.xml
כלן, he, transcription, כלן, texts/masa0450.xml
כלן, he, transcription, <add>כלן</add>, texts/masa0452.xml
כן, he, transcription, <p>כן, texts/beth0237.xml
כן, he, transcription, כן, texts/huqo0001.xml
כרוטין, he, transcription, כרוטין, texts/masa0449.xml
כרשנין, he, transcription, <p>כרשנין</p></div>, texts/masa0543.xml
כשירין, he, transcription, כשיר<supplied>ין</supplied>, texts/masa0449.xml
כשירין, he, transcription, כ<supplied>שירין, texts/masa0450.xml
כשירין, he, transcription, <supplied>כשירין, texts/masa0451.xml
כשירין, he, transcription, כשירי<supplied>ן</supplied>, texts/masa0452.xml
כתבה, he, transcription, כתבה, texts/masa0039.xml
כתבה, he, transcription, כתבה, texts/masa0514.xml
כתבידח, he, transcription, </lb></gap>כתבידח</p></div>, texts/masa0039.xml
כתבידח, he, transcription, </lb></gap>כתבידח</p></div>, texts/masa0514.xml
כתבידח, he, transcription, </gap>כתבידח</p></div>, texts/masa0515.xml
ל, he, transcription, <p>ל</p></div>, texts/hali0001.xml
ל, he, transcription, ל</gap>, texts/qumr0001.xml
לא, he, transcription, <supplied>לא</supplied>, texts/ahma0001.xml
לאונטיס, he, transcription, <p>לאונ<unclear>ט</unclear>יס</p></div>, texts/beth0272.xml
לאזעזר, he, transcription, </lb>לאזעזר, texts/qumr0001.xml
לביתריז, he, transcription, <p>לבית<supplied>ריז</supplied>, texts/jeru0309.xml
לג, he, transcription, <p>לג, texts/masa0593.xml
לג, he, transcription, <p>לג, texts/masa0594.xml
לג, he, transcription, לג, texts/masa0595.xml
לה, he, transcription, <unclear>ל</unclear><supplied>ה</supplied>, texts/huqo0001.xml
לה, he, transcription, <unclear>ל</unclear>ה</p></div>, texts/masa0539.xml
לה, he, transcription, לה</gap>, texts/qumr0001.xml
לום, he, transcription, <unclear>ל</unclear><supplied>ום</supplied>, texts/huqo0001.xml
לחנונה, he, transcription, </lb>לחנונה, texts/thar0001.xml
לטהרת, he, transcription, לטה<supplied>רת</supplied>, texts/masa0449.xml
לטהרת, he, transcription, ל</supplied>טה<supplied>רת</supplied>, texts/masa0450.xml
לטהרת, he, transcription, לטהרת</supplied>, texts/masa0451.xml
לטהרת, he, transcription, </lb>לטהרת, texts/masa0452.xml
לטהרת, he, transcription, <p>לט<supplied>הרת</supplied>, texts/masa0453b.xml
ליואת, he, transcription, </lb>לי/ואת, texts/qumr0001.xml
ללטהרת, he, transcription, </lb></gap>ל</gap>לט<supplied>הרת, texts/masa0450.xml
לנ, he, transcription, </lb>ל</gap><unclear>נ</unclear></gap>, texts/qumr0001.xml
לעולם, he, transcription, </lb><supplied>ל</supplied>עולם, texts/unkn0103.xml
לעזר, he, transcription, <supplied>ל</supplied>עזר, texts/jaff0054.xml
לפלליה, he, transcription, <p>ל<unclear>פ</unclear>לל<unclear>י</unclear>ה</p></div>, texts/masa0419.xml
ם, he, transcription, </lb></gap><unclear>ם</unclear>, texts/jaff0057.xml
מ, he, transcription, <unclear>מ</unclear>, texts/masa0549.xml
מ, he, transcription, <p>מ</p></div>, texts/masa0589.xml
מ, he, transcription, </g></num><unclear>מ</unclear>, texts/masa0597.xml
מ, he, transcription, </g></num>מ, texts/masa0598.xml
מ, he, transcription, </g></g></num>מ, texts/masa0599.xml
מאמאושלום, he, transcription, <unclear>מ</unclear>א<unclear>מא</unclear><unclear>ו</unclear>שלום</p></div>, texts/jaff0054.xml
מבמני, he, transcription, מבמני, texts/jeru0303.xml
מזבלסנה, he, transcription, </gap><unclear>מז</unclear></choice>בלסנה</p></div>, texts/masa0544.xml
מין, he, transcription, מין, texts/masa0449.xml
מלכנ, he, transcription, </lb>מלכנ</gap>, texts/tdor0002.xml
מן, he, transcription, </gap><unclear>מן</unclear>, texts/masa0544.xml
מנוחתה, he, transcription, <p>מנוחתה, texts/beth0242.xml
מעין, he, transcription, מעי<unclear>ן</unclear></gap></p></div>, texts/qumr0002.xml
מערב, he, transcription, <p>מערב</p></div>, texts/masa0550.xml
מעשר, he, transcription, <p>מעשר</p></div>, texts/masa0441.xml
מצות, he, transcription, </lb>מצות, texts/huqo0001.xml
מרים, he, transcription, <p>מרים, texts/beth0243.xml
מרים, he, transcription, <p>מרים</p></div>, texts/jeru0300.xml
מתחזקי, he, transcription, </lb>מ<unclear>תח</unclear><supplied>זקי</supplied>, texts/huqo0001.xml
מתיה, he, transcription, <p>מתיה</p></div>, texts/anna0001.xml
מתיה, he, transcription, <p>מתיה</p></div>, texts/masa0498.xml
מתכמתב, he, transcription, </lb>מתכ/מתב(?), texts/shap0004.xml
מתמתיום, he, transcription, </lb>מ/ת/</gap>מ/ת/</gap><unclear>י</unclear><unclear>ו</unclear>ם, texts/qumr0001.xml
ן, he, transcription, <unclear>ן</unclear>, texts/huqo0001.xml
נ, he, transcription, נ</gap></p></div>, texts/masa0401.xml
נ, he, transcription, נ, texts/qumr0001.xml
נהיה, he, transcription, <p>נה<supplied>יה</supplied>, texts/masa0507.xml
נטירא, he, transcription, <p>נטירא&#44;</p></div>, texts/akld0023.xml
נער, he, transcription, </lb>נער, texts/tdor0002.xml
