!, !, grc-transl, transcription, </rs>!, texts/xml/beth0194.xml
Besas, Besas, grc-transl, translation, Besas&#44;</p></div>, texts/xml/jaff0059.xml
Beth, Beth, grc-transl, transcription, Beth, texts/xml/beth0127.xml
Blessed, Blessed, grc-transl, translation, (Blessed</p></div>, texts/xml/kede0004.xml
Blessed, Blessed, grc-transl, translation, Blessed</p></div>, texts/xml/zoor0152.xml
Blessed, Blessed, grc-transl, translation, Blessed</p></div>, texts/xml/zoor0154.xml
Blessing, Blessing, grc-transl, translation, Bles/sing</p></div>, texts/xml/huld0001.xml
Boethos, Boethos, grc-transl, transcription, Boethos, texts/xml/hamm0017.xml
Boethus, Boethus, grc-transl, transcription, Boethus), texts/xml/jeru0307.xml
Bostra, Bostra, grc-transl, transcription, Bostra</rs>&#44;, texts/xml/hamm0038.xml
Brasidia, Brasidia, grc-transl, transcription, Brasidia</persName>., texts/xml/caes0197.xml
Briara, Briara, grc-transl, transcription, Briara, texts/xml/hamm0049.xml
Burial, Burial, grc-transl, translation, Burial</p></div>, texts/xml/jaff0021.xml
Burial, Burial, grc-transl, translation, Burial</p></div>, texts/xml/jaff0042.xml
Burial, Burial, grc-transl, translation, Burial</p></div>, texts/xml/jaff0070.xml
Burial, Burial, grc-transl, translation, Burial</p></div>, texts/xml/jaff0072.xml
Burial, Burial, grc-transl, translation, Burial</p></div>, texts/xml/jaff0080.xml
But, But, grc-transl, transcription, </lb>But, texts/xml/hamm0049.xml
By, By, grc-transl, translation, By</p></div>, texts/xml/birs0006.xml
By, By, grc-transl, translation, By, texts/xml/hamm0049.xml
By, By, grc-transl, translation, By</p></div>, texts/xml/masa0778.xml
Byblos, Byblos, grc-transl, transcription, Byblos</placeName></rs>;, texts/xml/beth0136.xml
Byblos, Byblos, grc-transl, transcription, Byblos</placeName></rs>&#44;, texts/xml/beth0137.xml
Caduceus, Caduceus, grc-transl, translation, Caduceus</p></div>, texts/xml/elus0100.xml
Caesar, Caesar, grc-transl, transcription, </rs>Caesar, texts/xml/caes0027.xml
Caesar, Caesar, grc-transl, transcription, Caesar, texts/xml/hamm0051.xml
Caesarea, Caesarea, grc-transl, transcription, Caesarea</placeName>&#44;, texts/xml/caes0012.xml
Caesarea, Caesarea, grc-transl, transcription, Caesarea</placeName>&#44;, texts/xml/hamm0050.xml
Caesarea, Caesarea, grc-transl, transcription, Caesarea, texts/xml/hamm0052.xml
Caesarea, Caesarea, grc-transl, transcription, Caesarea</placeName>&#44;, texts/xml/hamm0066.xml
Caesarean, Caesarean, grc-transl, transcription, Caesarean</rs>&#44;, texts/xml/hamm0053.xml
Callias, Callias, grc-transl, transcription, Callias</persName>&#44;, texts/xml/beth0060.xml
Calliope, Calliope, grc-transl, transcription, </rs>Calliope, texts/xml/beth0136.xml
Calliope, Calliope, grc-transl, transcription, Calliope, texts/xml/beth0137.xml
Calliope, Calliope, grc-transl, transcription, Calliope, texts/xml/beth0201.xml
Carus, Carus, grc-transl, transcription, Carus, texts/xml/hamm0017.xml
Chares, Chares, grc-transl, translation, Chares&#44;</p></div>, texts/xml/haif0048.xml
Christ, Christ, grc-transl, transcription, Christ, texts/xml/caes0132.xml
Christ, Christ, grc-transl, translation, Christ</rs>&#44;, texts/xml/caes0090.xml
Christ, Christ, grc-transl, translation, Christ&#44;, texts/xml/hamm0026.xml
Christ, Christ, grc-transl, translation, Christ&#44;</p></div>, texts/xml/khis0081.xml
Christ, Christ, grc-transl, translation, Christ</p></div>, texts/xml/khis0086.xml
Christ, Christ, grc-transl, translation, Christ&#44;, texts/xml/kzik0001.xml
Christ, Christ, grc-transl, translation, Christ</p></div>, texts/xml/rafi0007.xml
Christ, Christ, grc-transl, translation, Christ</p></div>, texts/xml/rafi0008.xml
Christ, Christ, grc-transl, translation, Christ&#44;</p></div>, texts/xml/rams0003.xml
Christ, Christ, grc-transl, translation, [Christ]</p></div>, texts/xml/zoor0063.xml
Christ, Christ, grc-transl, translation, Christ, texts/xml/zoor0393.xml
Chrysos, Chrysos, grc-transl, transcription, </rs>Chrysos, texts/xml/caes0132.xml
Claudius, Claudius, grc-transl, translation, Claudius(?)</p></div>, texts/xml/fein0007.xml
Claudius, Claudius, grc-transl, translation, Claudius</p></div>, texts/xml/jeru0129.xml
Comes, Comes, grc-transl, transcription, C[omes, texts/xml/tqas0001.xml
Constans, Constans, grc-transl, transcription, Constans, texts/xml/hamm0027.xml
Constantine, Constantine, grc-transl, transcription, Constantine, texts/xml/hamm0027.xml
Constantine, Constantine, grc-transl, transcription, Constantine</persName>&#44;, texts/xml/hamm0039.xml
Constantius, Constantius, grc-transl, transcription, Constantius), texts/xml/hamm0027.xml
Cosmas, Cosmas, grc-transl, transcription, Cosmas, texts/xml/hamm0010.xml
