#Zubaydu/Zubidu, arc, transcription, ../iip-texts-master/epidoc-files/idum0001.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/idum0004.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/idum0008.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/idum0027.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/idum0033.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/idum0090.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/idum0105.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/idum0121.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/idum0310.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/idum0386.xml
26, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/unkn0105.xml
27, arc, transcription, ../iip-texts-master/epidoc-files/idum0063.xml
27, arc, transcription, ../iip-texts-master/epidoc-files/idum0066.xml
27, arc, transcription, ../iip-texts-master/epidoc-files/idum0098.xml
27, arc, transcription, ../iip-texts-master/epidoc-files/idum0124.xml
27, arc, transcription, ../iip-texts-master/epidoc-files/idum0314.xml
27, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
27, arc, transcription, ../iip-texts-master/epidoc-files/unkn0105.xml
28, arc, transcription, ../iip-texts-master/epidoc-files/idum0012.xml
28, arc, transcription, ../iip-texts-master/epidoc-files/idum0036.xml
28, arc, transcription, ../iip-texts-master/epidoc-files/idum0044.xml
28, arc, transcription, ../iip-texts-master/epidoc-files/idum0051.xml
28, arc, transcription, ../iip-texts-master/epidoc-files/idum0098.xml
28, arc, transcription, ../iip-texts-master/epidoc-files/idum0129.xml
28, arc, transcription, ../iip-texts-master/epidoc-files/idum0306.xml
28, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
29, arc, transcription, ../iip-texts-master/epidoc-files/idum0015.xml
29, arc, transcription, ../iip-texts-master/epidoc-files/idum0034.xml
29, arc, transcription, ../iip-texts-master/epidoc-files/idum0134.xml
29, arc, transcription, ../iip-texts-master/epidoc-files/idum0157.xml
29, arc, transcription, ../iip-texts-master/epidoc-files/idum0316.xml
29, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
29, arc, transcription, ../iip-texts-master/epidoc-files/unkn0104.xml
3, grc, transcription, ../iip-texts-master/epidoc-files/beth0170.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0001.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0007.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0008.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0015.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0024.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0026.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0027.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0030.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0052.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0067.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0069.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0086.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0090.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0093.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0098.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0099.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0100.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0102.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0108.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0114.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0115.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0122.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0128.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0142.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0155.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0157.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0160.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0162.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0164.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0170.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0181.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0205.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0207.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0212.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0218.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0226.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0229.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0298.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0299.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0303.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0306.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0309b.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0311.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0328.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0337.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0376.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0377.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0385.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/idum0386.xml
3, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
3, arc, transcription, ../iip-texts-master/epidoc-files/unkn0105.xml
